Age*Class,AgeFill,FamilySize,Parch,Port,SibSp,Survived
141.0,47.0,1,0,2,1,0
58.0,29.0,1,0,2,1,1
50.0,25.0,0,1,2,0,0
46.0,23.0,0,1,0,0,0
19.0,19.0,2,0,2,0,1
37.0,37.0,1,1,2,1,0
48.0,16.0,0,1,2,0,0
24.0,24.0,0,1,0,0,0
64.5,21.5,2,0,0,0,0
66.0,22.0,0,0,2,0,1
72.0,24.0,1,0,2,1,1
57.0,19.0,0,1,1,0,0
36.0,18.0,0,1,2,0,0
38.0,19.0,2,1,2,1,0
81.0,27.0,0,1,2,0,1
27.0,9.0,4,0,2,2,0
73.0,36.5,2,1,2,0,0
84.0,42.0,0,1,2,0,0
102.0,51.0,0,1,2,0,0
22.0,22.0,1,0,2,1,1
166.5,55.5,0,1,2,0,0
121.5,40.5,2,1,2,0,0
75.0,25.0,0,1,2,0,0
51.0,51.0,1,1,0,0,0
48.0,16.0,0,0,1,0,1
90.0,30.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
75.0,25.0,10,1,2,8,0
132.0,44.0,1,1,2,0,0
80.0,40.0,0,0,2,0,1
78.0,26.0,0,1,2,0,0
51.0,17.0,0,1,2,0,0
3.0,1.0,5,1,2,4,0
27.0,9.0,2,1,2,0,1
35.0,35.0,1,0,2,0,1
135.0,45.0,5,0,2,1,0
40.0,40.0,0,1,2,0,0
84.0,28.0,0,1,2,0,0
61.0,61.0,0,1,2,0,0
12.0,4.0,5,1,1,4,0
3.0,1.0,2,0,2,1,1
63.0,21.0,0,1,2,0,0
56.0,56.0,0,1,0,0,0
54.0,18.0,2,1,2,1,0
75.0,25.0,4,1,2,3,0
50.0,50.0,0,0,0,0,0
60.0,30.0,0,1,2,0,0
108.0,36.0,0,1,2,0,0
64.5,21.5,10,0,2,8,0
60.0,30.0,0,1,0,0,0
27.0,9.0,6,1,2,4,0
2.0,1.0,3,1,2,2,1
12.0,4.0,2,0,2,0,1
40.0,40.0,0,1,2,0,0
64.5,21.5,1,0,1,1,1
45.0,45.0,0,1,2,0,1
120.0,40.0,2,1,1,1,0
108.0,36.0,0,1,2,0,0
64.0,32.0,0,0,2,0,1
38.0,19.0,0,1,2,0,0
57.0,19.0,1,0,2,1,1
6.0,3.0,2,1,2,1,1
44.0,44.0,0,0,0,0,1
58.0,58.0,0,0,0,0,1
75.0,25.0,0,1,1,0,0
126.0,42.0,1,1,2,0,0
64.5,21.5,0,0,1,0,1
48.0,24.0,0,0,2,0,0
84.0,28.0,0,1,2,0,0
75.0,25.0,10,1,2,8,0
102.0,34.0,0,1,2,0,0
136.5,45.5,0,1,0,0,0
54.0,18.0,0,1,2,0,1
6.0,2.0,1,0,2,0,0
96.0,32.0,1,1,2,1,0
78.0,26.0,0,1,0,0,1
48.0,16.0,0,0,1,0,1
40.0,40.0,0,1,0,0,1
72.0,24.0,0,1,2,0,0
70.0,35.0,0,0,2,0,1
66.0,22.0,0,1,2,0,0
60.0,30.0,0,1,2,0,0
75.0,25.0,1,1,1,1,0
31.0,31.0,1,0,0,1,1
81.0,27.0,0,0,2,0,1
84.0,42.0,1,1,2,1,0
32.0,32.0,0,0,0,0,1
60.0,30.0,0,1,2,0,0
48.0,16.0,0,1,2,0,1
54.0,27.0,0,1,2,0,0
153.0,51.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
38.0,38.0,1,1,2,1,1
66.0,22.0,0,1,2,0,0
38.0,19.0,0,1,2,0,1
61.5,20.5,0,1,2,0,0
36.0,18.0,0,1,2,0,0
64.5,21.5,4,0,2,3,0
35.0,35.0,1,0,2,1,1
87.0,29.0,0,1,2,0,0
118.0,59.0,0,1,2,0,0
15.0,5.0,6,0,2,4,1
48.0,24.0,0,1,2,0,0
64.5,21.5,0,0,2,0,0
88.0,44.0,1,1,2,1,0
16.0,8.0,2,0,2,0,1
38.0,19.0,0,1,2,0,0
66.0,33.0,0,1,2,0,0
64.5,21.5,1,0,0,1,0
64.5,21.5,1,0,1,1,1
58.0,29.0,0,1,2,0,0
66.0,22.0,0,1,2,0,0
90.0,30.0,0,1,0,0,0
44.0,44.0,2,1,1,2,0
75.0,25.0,0,0,2,0,0
48.0,24.0,2,0,2,0,1
37.0,37.0,2,1,2,1,1
108.0,54.0,1,1,2,1,0
75.0,25.0,0,1,2,0,0
87.0,29.0,2,0,2,1,0
62.0,62.0,0,1,2,0,0
90.0,30.0,1,1,2,1,0
123.0,41.0,2,0,2,0,0
87.0,29.0,2,0,0,0,1
35.0,35.0,0,0,0,0,1
30.0,30.0,0,0,2,0,1
35.0,35.0,0,0,0,0,1
100.0,50.0,1,0,2,0,1
75.0,25.0,0,1,1,0,0
9.0,3.0,6,1,2,4,1
52.0,52.0,2,1,2,1,0
40.0,40.0,0,1,2,0,0
64.5,21.5,0,0,1,0,0
72.0,36.0,0,1,2,0,0
48.0,16.0,5,1,2,4,0
75.0,25.0,1,1,2,1,1
58.0,58.0,1,0,2,0,1
35.0,35.0,0,0,2,0,1
40.0,40.0,0,1,2,0,0
75.0,25.0,0,1,2,0,1
82.0,41.0,1,0,2,0,1
37.0,37.0,1,1,0,0,0
64.5,21.5,0,0,1,0,1
63.0,63.0,1,0,2,1,1
135.0,45.0,0,0,2,0,0
60.0,30.0,0,1,2,0,0
21.0,7.0,5,1,1,4,0
105.0,35.0,2,0,2,1,1
195.0,65.0,0,1,1,0,0
84.0,28.0,0,1,2,0,0
48.0,16.0,0,1,2,0,0
57.0,19.0,0,1,2,0,1
40.0,40.0,0,1,2,0,0
99.0,33.0,0,1,0,0,0
90.0,30.0,0,1,2,0,1
66.0,22.0,0,1,2,0,0
84.0,42.0,0,1,2,0,1
66.0,22.0,0,0,1,0,1
26.0,26.0,0,0,2,0,1
19.0,19.0,1,0,0,1,1
72.0,36.0,0,1,0,0,0
72.0,24.0,0,0,2,0,0
72.0,24.0,0,1,2,0,0
40.0,40.0,0,1,0,0,0
70.5,23.5,0,1,0,0,0
2.0,2.0,3,0,2,1,0
40.0,40.0,0,1,2,0,1
50.0,50.0,1,0,0,0,1
64.5,21.5,0,0,1,0,1
75.0,25.0,2,1,1,2,1
57.0,19.0,0,1,2,0,0
56.0,28.0,0,0,1,0,1
75.0,25.0,0,1,2,0,0
0.92,0.92,3,1,2,1,1
35.0,35.0,0,0,0,0,1
17.0,17.0,1,0,0,1,1
60.0,30.0,1,1,0,1,0
30.0,30.0,0,0,0,0,1
24.0,24.0,0,0,0,0,1
18.0,18.0,4,0,0,2,1
52.0,26.0,2,0,2,1,0
84.0,28.0,0,1,2,0,0
86.0,43.0,2,1,2,1,0
78.0,26.0,0,0,2,0,1
48.0,24.0,1,0,2,1,1
108.0,54.0,0,1,2,0,0
31.0,31.0,2,0,2,0,1
40.0,40.0,2,0,0,1,1
66.0,22.0,0,1,2,0,0
81.0,27.0,0,1,2,0,0
60.0,30.0,0,0,1,0,1
44.0,22.0,2,0,2,1,1
75.0,25.0,10,1,2,8,0
36.0,36.0,0,0,0,0,1
183.0,61.0,0,1,2,0,0
72.0,36.0,0,0,2,0,1
93.0,31.0,2,0,2,1,1
16.0,16.0,1,0,0,0,1
64.5,21.5,2,0,1,2,1
45.5,45.5,0,1,2,0,0
38.0,38.0,1,1,2,0,0
48.0,16.0,2,1,2,2,0
35.0,35.0,1,0,2,1,1
75.0,25.0,0,1,2,0,0
29.0,29.0,1,1,2,1,0
41.0,41.0,0,0,0,0,1
135.0,45.0,0,1,2,0,1
45.0,45.0,0,1,2,0,0
4.0,2.0,2,1,2,1,1
24.0,24.0,5,0,2,3,1
56.0,28.0,0,1,2,0,0
50.0,25.0,0,1,2,0,0
72.0,36.0,0,1,2,0,0
48.0,24.0,0,0,2,0,1
80.0,40.0,0,0,2,0,1
64.5,21.5,1,0,2,1,1
9.0,3.0,2,1,2,1,1
126.0,42.0,0,1,2,0,0
69.0,23.0,0,1,2,0,0
40.0,40.0,0,1,2,0,0
45.0,15.0,2,1,0,1,0
75.0,25.0,1,1,2,1,0
75.0,25.0,0,1,0,0,0
84.0,28.0,0,1,2,0,0
22.0,22.0,1,0,2,0,1
76.0,38.0,0,0,2,0,0
64.5,21.5,0,0,1,0,1
64.5,21.5,0,0,1,0,1
120.0,40.0,5,1,2,1,0
58.0,29.0,1,1,0,1,0
135.0,45.0,1,0,0,0,0
105.0,35.0,0,1,2,0,0
75.0,25.0,1,1,1,1,0
90.0,30.0,0,1,2,0,0
60.0,60.0,1,0,0,1,1
64.5,21.5,0,0,0,0,1
64.5,21.5,0,0,1,0,1
24.0,24.0,0,0,0,0,1
25.0,25.0,1,1,0,1,1
54.0,18.0,1,1,2,1,0
57.0,19.0,0,1,2,0,0
22.0,22.0,0,1,0,0,0
9.0,3.0,4,0,2,3,0
35.0,35.0,1,0,0,1,1
66.0,22.0,0,0,2,0,1
27.0,27.0,2,1,0,0,0
60.0,20.0,0,1,0,0,0
57.0,19.0,0,1,2,0,0
42.0,42.0,0,0,0,0,1
3.0,1.0,2,0,0,0,1
96.0,32.0,0,1,2,0,0
35.0,35.0,1,0,2,1,1
75.0,25.0,0,1,2,0,0
36.0,18.0,0,1,2,0,0
3.0,1.0,7,1,2,5,0
72.0,36.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
34.0,17.0,0,0,0,0,1
36.0,36.0,3,1,2,1,1
63.0,21.0,0,1,2,0,1
84.0,28.0,2,1,2,2,0
23.0,23.0,1,0,0,1,1
72.0,24.0,2,0,2,0,1
66.0,22.0,0,1,2,0,0
93.0,31.0,0,0,2,0,0
92.0,46.0,0,1,2,0,0
46.0,23.0,0,1,2,0,0
56.0,28.0,0,0,2,0,1
117.0,39.0,0,1,2,0,1
78.0,26.0,0,1,2,0,0
63.0,21.0,1,0,2,1,0
84.0,28.0,1,1,2,1,0
60.0,20.0,0,0,2,0,0
68.0,34.0,1,1,2,1,0
153.0,51.0,0,1,2,0,0
6.0,3.0,2,1,2,1,1
63.0,21.0,0,1,2,0,0
64.5,21.5,4,0,2,3,0
75.0,25.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
33.0,33.0,1,0,1,1,1
60.0,30.0,0,1,2,0,0
132.0,44.0,0,1,2,0,1
64.5,21.5,0,0,2,0,0
68.0,34.0,2,0,2,1,1
36.0,18.0,2,0,2,0,1
60.0,30.0,0,1,2,0,0
30.0,10.0,2,0,2,0,0
75.0,25.0,0,1,0,0,0
63.0,21.0,0,1,1,0,0
87.0,29.0,0,1,2,0,0
84.0,28.0,2,0,2,1,0
54.0,18.0,2,1,2,1,0
75.0,25.0,0,1,2,0,0
56.0,28.0,1,0,2,1,1
38.0,19.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
96.0,32.0,0,1,2,0,1
28.0,28.0,0,1,2,0,1
64.5,21.5,1,0,2,1,1
84.0,42.0,1,0,2,1,1
51.0,17.0,0,1,2,0,0
50.0,50.0,1,1,2,1,0
14.0,14.0,3,0,2,1,1
63.0,21.0,4,0,2,2,0
48.0,24.0,5,0,2,2,1
64.0,64.0,5,1,2,1,0
62.0,31.0,0,1,2,0,0
90.0,45.0,2,0,2,1,1
60.0,20.0,0,1,2,0,0
75.0,25.0,1,1,2,1,0
56.0,28.0,0,0,2,0,1
75.0,25.0,0,1,2,0,1
4.0,4.0,2,1,2,0,1
26.0,13.0,1,0,2,0,1
34.0,34.0,0,1,2,0,1
15.0,5.0,3,0,0,2,1
52.0,52.0,0,1,2,0,1
72.0,36.0,3,1,2,1,0
75.0,25.0,1,1,2,1,0
30.0,30.0,0,1,0,0,0
49.0,49.0,1,1,0,1,1
75.0,25.0,0,1,2,0,0
87.0,29.0,0,1,0,0,1
65.0,65.0,0,1,2,0,0
35.0,35.0,1,0,2,1,1
100.0,50.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
48.0,48.0,0,1,2,0,1
102.0,34.0,0,1,2,0,0
47.0,47.0,0,1,2,0,0
96.0,48.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
114.0,38.0,0,1,2,0,0
60.0,30.0,0,1,2,0,0
56.0,56.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
2.25,0.75,3,0,0,2,1
75.0,25.0,0,1,2,0,0
114.0,38.0,0,1,2,0,0
66.0,33.0,3,0,2,1,1
46.0,23.0,0,0,0,0,1
66.0,22.0,0,0,2,0,0
40.0,40.0,0,1,2,0,0
68.0,34.0,1,1,2,1,0
87.0,29.0,1,1,2,1,0
66.0,22.0,0,1,2,0,0
6.0,2.0,1,0,2,0,1
27.0,9.0,7,1,2,5,0
60.0,30.0,0,1,2,0,0
150.0,50.0,0,1,2,0,0
189.0,63.0,0,0,2,0,1
25.0,25.0,1,1,0,1,1
64.5,21.5,4,0,2,3,0
35.0,35.0,1,0,2,1,1
58.0,58.0,0,1,0,0,0
90.0,30.0,0,1,2,0,0
27.0,9.0,2,1,2,1,1
75.0,25.0,1,1,2,1,0
63.0,21.0,0,1,2,0,0
55.0,55.0,0,1,2,0,0
71.0,71.0,0,1,0,0,0
63.0,21.0,0,1,2,0,0
75.0,25.0,0,1,0,0,0
54.0,54.0,1,0,0,1,1
75.0,25.0,0,1,2,0,0
25.0,25.0,3,0,2,1,0
72.0,24.0,0,1,2,0,0
51.0,17.0,0,1,2,0,0
63.0,21.0,0,0,1,0,0
64.5,21.5,0,0,1,0,0
111.0,37.0,0,0,2,0,0
16.0,16.0,0,0,2,0,1
18.0,18.0,1,1,0,1,0
66.0,33.0,2,0,2,0,1
40.0,40.0,0,1,2,0,1
84.0,28.0,0,1,2,0,0
78.0,26.0,0,1,2,0,1
87.0,29.0,0,1,1,0,1
75.0,25.0,0,1,2,0,0
36.0,36.0,0,1,2,0,1
54.0,54.0,1,0,0,1,1
72.0,24.0,0,1,2,0,0
47.0,47.0,0,1,2,0,0
68.0,34.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
72.0,36.0,1,0,2,1,1
96.0,32.0,0,1,2,0,0
30.0,30.0,0,0,2,0,1
66.0,22.0,0,1,2,0,0
75.0,25.0,0,1,0,0,0
44.0,44.0,1,0,0,0,1
75.0,25.0,0,1,0,0,0
121.5,40.5,0,1,1,0,0
100.0,50.0,0,0,2,0,1
40.0,40.0,0,1,2,0,0
117.0,39.0,0,1,2,0,0
46.0,23.0,3,1,2,2,0
4.0,2.0,2,0,2,1,1
75.0,25.0,0,1,0,0,0
51.0,17.0,2,1,0,1,0
64.5,21.5,2,0,0,0,1
90.0,30.0,0,0,2,0,0
14.0,7.0,2,0,2,0,1
45.0,45.0,0,1,2,0,0
30.0,30.0,0,0,0,0,1
75.0,25.0,0,1,2,0,0
22.0,22.0,2,0,0,0,1
36.0,36.0,2,0,2,0,1
27.0,9.0,6,0,2,4,0
33.0,11.0,6,0,2,4,0
64.0,32.0,1,1,2,1,1
50.0,50.0,1,1,0,1,0
64.0,64.0,0,1,2,0,0
38.0,19.0,1,0,2,1,1
60.0,30.0,0,1,0,0,1
99.0,33.0,2,1,2,1,0
16.0,8.0,2,1,2,1,1
17.0,17.0,2,1,0,0,1
54.0,27.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
66.0,22.0,0,1,0,0,1
66.0,22.0,0,0,2,0,1
62.0,62.0,0,1,2,0,0
48.0,48.0,1,0,0,1,1
40.0,40.0,0,1,0,0,0
39.0,39.0,2,0,2,1,1
108.0,36.0,1,0,2,1,1
75.0,25.0,0,1,1,0,0
120.0,40.0,0,1,2,0,0
56.0,28.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
64.5,21.5,0,0,2,0,0
72.0,24.0,2,1,2,2,0
57.0,19.0,0,1,2,0,0
87.0,29.0,4,0,2,0,0
75.0,25.0,0,1,0,0,0
96.0,32.0,0,1,2,0,1
124.0,62.0,0,1,2,0,1
53.0,53.0,2,0,2,2,1
36.0,36.0,0,1,2,0,1
64.5,21.5,0,0,1,0,1
48.0,16.0,0,1,2,0,0
57.0,19.0,0,1,2,0,0
68.0,34.0,0,0,2,0,1
39.0,39.0,1,0,2,1,1
64.5,21.5,1,0,0,1,0
96.0,32.0,0,1,2,0,1
50.0,25.0,2,0,2,1,1
39.0,39.0,2,0,0,1,1
108.0,54.0,0,1,2,0,0
36.0,36.0,0,1,0,0,0
75.0,25.0,0,1,0,0,0
18.0,18.0,2,0,2,0,1
94.0,47.0,0,1,2,0,0
60.0,60.0,2,1,0,1,1
66.0,22.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
105.0,35.0,0,1,2,0,0
52.0,52.0,1,0,0,1,1
141.0,47.0,0,1,2,0,0
64.5,21.5,2,0,1,0,0
74.0,37.0,1,1,2,1,0
108.0,36.0,2,1,2,1,0
56.0,28.0,0,0,2,0,1
147.0,49.0,0,1,2,0,0
75.0,25.0,0,1,0,0,0
49.0,49.0,1,1,0,1,1
48.0,24.0,3,0,2,2,1
75.0,25.0,0,1,2,0,0
40.0,40.0,0,1,2,0,0
132.0,44.0,0,1,2,0,0
35.0,35.0,0,1,0,0,1
108.0,36.0,1,1,2,1,0
90.0,30.0,0,1,2,0,0
27.0,27.0,0,1,2,0,1
44.0,22.0,3,0,0,1,1
40.0,40.0,0,0,2,0,1
117.0,39.0,6,0,2,1,0
75.0,25.0,0,1,2,0,0
64.5,21.5,1,0,1,1,1
75.0,25.0,0,1,1,0,0
105.0,35.0,0,1,2,0,0
48.0,24.0,3,0,2,1,1
102.0,34.0,2,1,2,1,0
78.0,26.0,1,0,2,1,0
8.0,4.0,3,0,2,2,1
52.0,26.0,0,1,2,0,0
81.0,27.0,1,1,0,1,0
42.0,42.0,1,1,2,1,1
60.0,20.0,2,1,0,1,1
63.0,21.0,0,1,2,0,0
63.0,21.0,0,1,2,0,0
61.0,61.0,0,1,2,0,0
114.0,57.0,0,1,1,0,0
21.0,21.0,0,0,2,0,1
78.0,26.0,0,1,2,0,0
75.0,25.0,0,1,1,0,0
80.0,80.0,0,1,2,0,1
153.0,51.0,0,1,2,0,0
32.0,32.0,0,1,0,0,1
40.0,40.0,0,1,2,0,0
27.0,9.0,5,0,2,3,0
56.0,28.0,0,0,2,0,1
96.0,32.0,0,1,2,0,0
62.0,31.0,2,1,2,1,0
123.0,41.0,5,0,2,0,0
75.0,25.0,1,1,2,1,0
60.0,20.0,0,1,2,0,0
24.0,24.0,0,0,0,0,1
6.0,2.0,5,0,2,3,0
75.0,25.0,0,1,2,0,1
2.25,0.75,3,0,0,2,1
48.0,48.0,1,1,0,1,1
57.0,19.0,0,1,2,0,0
56.0,56.0,0,1,0,0,1
75.0,25.0,0,1,2,0,0
69.0,23.0,0,0,2,0,1
75.0,25.0,0,1,2,0,0
36.0,18.0,1,0,2,0,1
63.0,21.0,0,1,2,0,0
64.5,21.5,0,0,1,0,1
54.0,18.0,0,0,1,0,0
48.0,24.0,2,1,2,2,0
75.0,25.0,0,1,2,0,0
96.0,32.0,2,0,1,1,0
46.0,23.0,0,1,2,0,0
58.0,58.0,2,1,0,0,0
50.0,50.0,2,1,2,2,1
120.0,40.0,0,1,0,0,0
47.0,47.0,0,1,2,0,0
108.0,36.0,0,1,2,0,0
60.0,20.0,1,1,2,1,1
64.0,32.0,2,1,2,2,0
50.0,25.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
129.0,43.0,0,1,2,0,0
35.0,35.0,1,0,2,1,1
80.0,40.0,2,0,2,1,1
31.0,31.0,1,1,2,1,0
140.0,70.0,0,1,2,0,0
62.0,31.0,0,1,2,0,1
60.0,30.0,0,1,2,0,0
54.0,18.0,0,1,2,0,0
73.5,24.5,0,1,2,0,0
54.0,18.0,0,0,2,0,1
129.0,43.0,7,0,2,1,0
36.0,36.0,1,1,0,0,1
64.5,21.5,0,0,1,0,0
27.0,27.0,0,1,0,0,1
60.0,20.0,0,1,2,0,0
42.0,14.0,7,1,2,5,0
120.0,60.0,2,1,2,1,0
50.0,25.0,3,1,0,1,0
42.0,14.0,5,1,2,4,0
57.0,19.0,0,1,2,0,0
54.0,18.0,0,1,2,0,0
15.0,15.0,1,0,2,0,1
31.0,31.0,1,1,2,1,1
12.0,4.0,1,0,0,0,1
75.0,25.0,0,1,2,0,1
75.0,25.0,0,1,0,0,0
60.0,60.0,0,1,2,0,0
104.0,52.0,0,1,2,0,0
132.0,44.0,0,1,2,0,0
64.5,21.5,0,0,1,0,1
49.0,49.0,2,1,0,1,0
126.0,42.0,0,1,2,0,0
18.0,18.0,1,0,0,1,1
35.0,35.0,0,1,2,0,1
54.0,18.0,1,0,0,0,0
75.0,25.0,0,1,1,0,0
78.0,26.0,1,1,2,1,0
78.0,39.0,0,1,2,0,0
90.0,45.0,0,0,2,0,1
42.0,42.0,0,1,2,0,1
22.0,22.0,0,0,2,0,1
75.0,25.0,2,1,0,1,1
24.0,24.0,0,0,0,0,1
40.0,40.0,0,1,2,0,0
48.0,48.0,1,1,2,1,1
87.0,29.0,0,1,2,0,0
104.0,52.0,0,1,2,0,0
57.0,19.0,0,1,2,0,0
38.0,38.0,0,0,0,0,1
54.0,27.0,0,0,2,0,1
75.0,25.0,0,1,1,0,0
99.0,33.0,0,1,2,0,0
12.0,6.0,1,0,2,0,1
51.0,17.0,1,1,2,1,0
68.0,34.0,0,1,2,0,0
100.0,50.0,0,1,2,0,0
27.0,27.0,1,1,2,1,1
60.0,20.0,0,1,2,0,0
60.0,30.0,3,0,2,3,1
64.5,21.5,0,0,1,0,1
50.0,25.0,1,1,2,1,0
75.0,25.0,1,0,2,1,0
29.0,29.0,0,0,2,0,1
33.0,11.0,0,1,0,0,0
60.0,30.0,0,1,2,0,0
46.0,23.0,0,1,2,0,0
46.0,23.0,0,1,2,0,0
85.5,28.5,0,1,2,0,0
144.0,48.0,4,0,2,1,0
35.0,35.0,0,1,0,0,1
75.0,25.0,0,1,2,0,0
75.0,25.0,0,1,2,0,0
40.0,40.0,0,1,2,0,1
36.0,36.0,1,1,2,1,0
21.0,21.0,4,0,0,2,1
72.0,24.0,1,1,2,1,0
93.0,31.0,0,1,2,0,1
70.0,70.0,2,1,2,1,0
48.0,16.0,2,1,2,1,0
60.0,30.0,0,0,2,0,1
19.0,19.0,1,1,2,1,0
93.0,31.0,0,1,1,0,0
8.0,4.0,2,0,2,1,1
18.0,6.0,1,1,2,0,1
99.0,33.0,0,1,2,0,0
69.0,23.0,0,1,2,0,0
96.0,48.0,3,0,2,1,1
1.34,0.67,2,1,2,1,1
84.0,28.0,0,1,2,0,0
36.0,18.0,0,1,2,0,0
102.0,34.0,0,1,2,0,0
33.0,33.0,0,0,2,0,1
75.0,25.0,0,1,2,0,0
123.0,41.0,0,1,2,0,0
60.0,20.0,0,1,0,0,1
36.0,36.0,3,0,2,1,1
48.0,16.0,0,1,2,0,0
51.0,51.0,1,0,2,1,1
40.0,40.0,0,1,0,0,0
91.5,30.5,0,0,1,0,0
75.0,25.0,1,1,1,1,0
96.0,32.0,0,1,2,0,0
72.0,24.0,0,1,2,0,0
144.0,48.0,0,1,2,0,0
114.0,57.0,0,0,2,0,0
75.0,25.0,0,1,0,0,0
